記録日,作物PK,気温,湿度,土中湿度,元気
2021/06/28 8:50:30,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.6,51.68,66,2
2021/06/28 11:49:34,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.0,56.25,54,0
2021/06/28 12:19:40,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.0,55.98,64,1
2021/06/28 12:49:47,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.0,55.81,64,1
2021/06/28 13:19:53,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.8,55.47,64,1
2021/06/28 13:49:59,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.1,55.32,71,3
2021/06/28 14:20:05,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.6,55.15,67,2
2021/06/28 14:50:11,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.5,54.96,65,2
2021/06/28 15:20:18,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.4,54.74,65,2
2021/06/28 15:50:24,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.0,54.74,74,3
2021/06/28 16:20:30,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.9,54.66,69,2
2021/06/28 16:50:36,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.6,54.3,67,2
2021/06/28 17:20:42,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.4,54.03,67,2
2021/06/28 17:50:48,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.3,53.78,67,2
2021/06/28 18:20:55,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.3,53.37,76,3
2021/06/28 18:51:01,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.8,53.2,73,3
2021/06/28 19:21:07,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.2,53.15,72,3
2021/06/28 19:51:13,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.4,53.05,70,3
2021/06/28 20:21:19,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.4,53.1,70,3
2021/06/28 20:51:25,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.3,52.73,68,2
2021/06/28 21:21:31,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.3,52.76,68,2
2021/06/28 21:51:37,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.3,52.61,66,2
2021/06/28 22:29:45,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.6,52.56,65,2
2021/06/28 22:59:51,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.6,52.51,66,2
2021/06/28 23:29:57,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.3,52.37,68,2
2021/06/29 19:03:45,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.7,37.72,80,3
2021/06/29 19:33:52,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.3,39.18,59,0
2021/06/29 20:03:58,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.1,39.28,70,3
2021/06/29 20:34:04,FAF90C9F-794A-46F2-A538-AA8B2897848D,25.5,39.45,78,3
2021/06/29 21:04:10,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.0,39.6,77,3
2021/06/30 7:26:45,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.3,40.11,71,3
2021/06/30 7:56:51,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.2,37.72,71,3
2021/06/30 8:26:57,FAF90C9F-794A-46F2-A538-AA8B2897848D,27.6,37.82,66,2
2021/06/30 8:57:03,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.6,37.67,71,3
2021/06/30 9:27:09,FAF90C9F-794A-46F2-A538-AA8B2897848D,26.8,37.11,71,3
2021/06/30 9:57:15,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.3,36.77,69,2
2021/06/30 10:27:21,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.1,36.33,70,3
2021/06/30 10:57:27,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.0,36.16,70,3
2021/06/30 11:27:33,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.0,35.38,70,3
2021/06/30 11:57:39,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.4,34.5,74,3
2021/06/30 12:27:45,FAF90C9F-794A-46F2-A538-AA8B2897848D,24.1,34.64,71,3
